user_id,user_name,user_password,img_address,user_type
2c6e7b33-7815-4a8e-a6bd-5e8608eef1ff,name01,test,img_sample,GENERAL
f21dd1e3-e018-4cde-b3a7-3d58ba27772a,name02,test,img_sample,GENERAL
d55b433b-79f0-4a9d-84de-66e8381e2502,name03,test,img_sample,GENERAL
fdd1b77e-8de1-4210-9116-bcabc5797b1d,name04,test,img_sample,GENERAL
832cb42a-3c37-4b07-8977-82408ed7d70c,name05,test,img_sample,GENERAL
66535083-50ca-46b0-91c5-0263adcb6570,name06,test,img_sample,GENERAL
b921acb5-4fb3-4029-b433-779922dee50f,name07,test,img_sample,GENERAL
b81582d0-e069-446e-9ac1-e01d8c925128,name08,test,img_sample,GENERAL
f39d103a-75db-4f0c-aeda-3794edbc6768,name09,test,img_sample,GENERAL
57a608a8-2e94-43b1-9006-e51dd86fb38d,name10,test,img_sample,GENERAL
ed585b0c-aa75-4a4f-afc3-b625db7dc99e,name11,test,img_sample,GENERAL
d1142c25-6eed-4bfd-a9fe-f71134c91652,name12,test,img_sample,GENERAL
fc0f0ccf-cd47-4ff7-8374-0be07bc57c65,name13,test,img_sample,GENERAL
4dff0ae8-b012-486a-8386-cb1179245490,name14,test,img_sample,GENERAL
8cbd73bb-284f-48a5-80cc-abd87d259367,name15,test,img_sample,GENERAL
aa92692d-ced1-4905-9a2b-adc22f0a356c,name16,test,img_sample,GENERAL
c52f8707-fba9-4da7-9ed2-9b1067a5619a,name17,test,img_sample,GENERAL
9e594828-4a80-4504-8236-636862ae2e47,name18,test,img_sample,GENERAL
a0f39386-9a8a-4aeb-9301-7edbf3de47a6,name19,test,img_sample,GENERAL
da77c74f-28d1-4e22-b5a5-3f40e3e5f6b4,name20,test,img_sample,GENERAL
7fb911f2-41d1-43e4-8834-e66ec989a9d4,name21,test,img_sample,GENERAL
447bade2-e78d-47ec-b34c-3be139185dc3,name22,test,img_sample,GENERAL
1659f5ef-d0a2-4316-afa2-d76fa60a91d5,name23,test,img_sample,GENERAL
200488ae-e44c-4ebe-9280-ea3a40652fc8,name24,test,img_sample,GENERAL
1f137f91-fa50-4fe2-856e-fee19e0eea7d,name25,test,img_sample,GENERAL
4c9b3789-c819-4215-8914-b1f64e75814b,name26,test,img_sample,GENERAL
576afa35-40f3-47e7-b9e3-d505deea79aa,name27,test,img_sample,GENERAL
039820e1-bd1c-44d1-b962-cb0e7df24c20,name28,test,img_sample,GENERAL
0443c298-a07d-4073-8dc1-bd09f7010334,name29,test,img_sample,GENERAL
d2c12209-2c7e-4d69-af96-ae6a041e05fa,name30,test,img_sample,GENERAL
test,test,test,img_sample,GENERAL
admin,admin,admin,img_sample,OPERATION_MANAGER
tadmin,tadmin,tadmin,img_sample,TALENT_MANAGER
a0fdd820-67a7-4868-823a-9f7bcdca1dbd,name31,test,img_sample,GENERAL
c5f5988f-99f2-481e-afa3-03931a9ea02d,name32,test,img_sample,GENERAL
5d2ff422-c5fc-4a2f-bb6e-f3e4476f6f49,name33,test,img_sample,GENERAL
33ef8948-82b4-42a1-a221-04c42daf4764,name34,test,img_sample,GENERAL
544319c5-8f03-44cf-9b00-991d0d9f9b0c,name35,test,img_sample,GENERAL
14d4066c-20a3-4878-be35-3d9b5b8480aa,name36,test,img_sample,GENERAL
fcada7d7-80c2-47a2-a55a-8701b73ea7f7,name37,test,img_sample,GENERAL
05b58769-3172-4d87-87d1-917f2fa795ca,name38,test,img_sample,GENERAL
9d4877db-19a4-44d2-b056-8f136d5e9840,name39,test,img_sample,GENERAL
172b00fd-ebfe-4410-9335-e949dab590b8,name40,test,img_sample,GENERAL
b65a39bd-2d4e-46f9-b6ed-82a31d3dd136,name41,test,img_sample,GENERAL
2fedf92e-144b-484e-a534-b59e13749161,name42,test,img_sample,GENERAL
20570a0b-3e76-4efd-b499-6b12fa3c3bb3,name43,test,img_sample,GENERAL
a84cd97b-7b01-4e4a-abab-6ea711e92492,name44,test,img_sample,GENERAL
4f734b97-c4ad-44cf-aa6a-259441be3fba,name45,test,img_sample,GENERAL
769bbe64-ba15-4fce-bb41-592256f02848,name46,test,img_sample,GENERAL
2242e934-da16-463f-87e7-1096f210e53f,name47,test,img_sample,GENERAL
4bbbc74d-0f58-436a-9e91-fe200cff9f99,name48,test,img_sample,GENERAL
15fce0d6-f32d-4da0-80ac-4bd772166cb3,name49,test,img_sample,GENERAL
37700a4d-deda-41ef-a256-429f4b0b573b,name50,test,img_sample,GENERAL
95059792-93ab-4854-ab9a-38a900f6d794,name51,test,img_sample,GENERAL
